Z	A	Mass_(amu)
0	0	0.0000000000
0	1	1.0086649159
1	1	1.00782503190
1	2	2.01410177784
2	3	3.01602932197
2	4	4.00260325413
3	7	7.016003434
3	8       8.02248624
4	8	8.00530510
4	9	9.01218306
5	9	9.0133296
5	10	10.012936862
5	11	11.009305167
5	12	12.0143526
6	11	11.0114326
6	12	12.0000000000
6	13	13.00335483534
6	14	14.003241989
7       13      13.00573861
8	16	15.99491461960
8	17	16.9991317566
9	19	18.9984031629
9	20	19.99998125
10	21      20.99384668
10	22	21.991385109
12	24      23.985041697
12	25	24.98583696
12	26	25.98259297
13      25      24.99042831
14      26      25.99233382
22	48	47.94794093
22	49	48.94786463
22	50	49.94478584
22	51	50.9466096
82	208	207.9766519
82	209	208.9810899
-1	-1	-1  -- final line necessary for termination
