MAX_Q: 5 | TOT_ANGS: 200
Cos(th)   sinq0   sinq1   sinq2   sinq3   sinq4   sinq5   
-0.995   0   0.00307008   0.00112341   4.52426e-05   1.10896e-05   3.34747e-18   
-0.985   0   0.00514668   0.0031913   0.000233322   9.88088e-05   -2.44284e-17   
-0.975   0   0.0064268   0.00502606   0.00049824   0.00027171   -1.92446e-17   
-0.965   0   0.00735046   0.00663416   0.000819076   0.000527173   -3.66054e-17   
-0.955   0   0.00805086   0.008022   0.001185   0.000862602   -1.77267e-17   
-0.945   0   0.00859128   0.00919591   0.00158892   0.00127543   -6.55265e-18   
-0.935   0   0.00900828   0.0101622   0.00202567   0.00176312   -2.28699e-17   
-0.925   0   0.00932559   0.0109269   0.00249124   0.00232314   -5.46167e-18   
-0.915   0   0.00955979   0.0114964   0.00298236   0.00295303   -2.19212e-17   
-0.905   0   0.00972313   0.0118766   0.00349628   0.00365031   -1.30375e-17   
-0.895   0   0.00982504   0.0120735   0.00403066   0.00441254   -8.47033e-18   
-0.885   0   0.00987302   0.0120931   0.00458344   0.00523734   -2.11148e-17   
-0.875   0   0.00987318   0.0119412   0.00515282   0.0061223   -2.48282e-17   
-0.865   0   0.00983061   0.0116237   0.00573716   0.00706508   -3.15232e-17   
-0.855   0   0.0097496   0.0111463   0.00633499   0.00806336   -1.4325e-17   
-0.845   0   0.00963387   0.0105147   0.00694497   0.00911482   -2.2277e-17   
-0.835   0   0.00948663   0.00973438   0.00756586   0.0102172   -1.81672e-17   
-0.825   0   0.00931072   0.00881101   0.00819652   0.0113683   7.80964e-18   
-0.815   0   0.00910867   0.00775002   0.0088359   0.0125658   -1.73134e-18   
-0.805   0   0.00888272   0.00655683   0.009483   0.0138075   -8.12135e-18   
-0.795   0   0.00863492   0.00523677   0.0101369   0.0150914   -1.23667e-18   
-0.785   0   0.0083671   0.00379513   0.0107968   0.0164152   -2.17179e-17   
-0.775   0   0.00808096   0.00223711   0.0114617   0.0177768   -3.1679e-18   
-0.765   0   0.00777805   0.000567854   0.012131   0.0191742   -1.41929e-17   
-0.755   0   0.00745979   -0.00120755   0.0128039   0.0206053   -9.35124e-19   
-0.745   0   0.00712749   -0.0030841   0.0134797   0.022068   -1.97867e-17   
-0.735   0   0.0067824   -0.00505683   0.0141578   0.0235604   -7.24383e-18   
-0.725   0   0.00642566   -0.00712088   0.0148375   0.0250805   -2.08506e-17   
-0.715   0   0.00605833   -0.00927143   0.0155182   0.0266262   -1.01136e-17   
-0.705   0   0.00568142   -0.0115037   0.0161994   0.0281958   -1.34475e-17   
-0.695   0   0.00529588   -0.0138131   0.0168804   0.0297873   -2.06676e-18   
-0.685   0   0.00490259   -0.0161949   0.0175608   0.0313988   -2.08099e-17   
-0.675   0   0.0045024   -0.0186446   0.01824   0.0330285   -5.72933e-18   
-0.665   0   0.0040961   -0.0211577   0.0189176   0.0346745   -8.78881e-18   
-0.655   0   0.00368445   -0.0237298   0.0195931   0.0363351   -1.57582e-17   
-0.645   0   0.00326816   -0.0263565   0.0202661   0.0380085   1.17229e-18   
-0.635   0   0.00284792   -0.0290336   0.020936   0.0396929   3.13741e-18   
-0.625   0   0.00242437   -0.0317568   0.0216026   0.0413867   -5.32614e-18   
-0.615   0   0.00199814   -0.034522   0.0222653   0.0430882   -5.03476e-18   
-0.605   0   0.00156982   -0.0373251   0.0229238   0.0447957   1.41997e-17   
-0.595   0   0.00113996   -0.040162   0.0235777   0.0465075   -1.73405e-17   
-0.585   0   0.000709122   -0.0430288   0.0242267   0.0482222   -6.31209e-18   
-0.575   0   0.000277812   -0.0459217   0.0248704   0.049938   2.15146e-18   
-0.565   0   -0.00015347   -0.0488367   0.0255084   0.0516534   -1.74861e-17   
-0.555   0   -0.000584248   -0.0517702   0.0261405   0.053367   -3.40168e-17   
-0.545   0   -0.00101406   -0.0547184   0.0267663   0.0550772   -1.28681e-17   
-0.535   0   -0.00144248   -0.0576777   0.0273855   0.0567825   -1.71473e-17   
-0.525   0   -0.00186907   -0.0606445   0.0279978   0.0584816   -5.79371e-19   
-0.515   0   -0.00229343   -0.0636154   0.0286029   0.0601729   -9.88657e-18   
-0.505   0   -0.00271516   -0.0665869   0.0292005   0.0618551   -1.98985e-17   
-0.495   0   -0.0031339   -0.0695556   0.0297904   0.0635268   -7.22011e-18   
-0.485   0   -0.00354928   -0.0725183   0.0303724   0.0651868   -4.70883e-17   
-0.475   0   -0.00396096   -0.0754717   0.030946   0.0668336   -2.04982e-17   
-0.465   0   -0.00436858   -0.0784127   0.0315112   0.068466   -2.92057e-17   
-0.455   0   -0.00477184   -0.0813381   0.0320677   0.0700827   -2.36627e-17   
-0.445   0   -0.00517041   -0.084245   0.0326152   0.0716826   3.78793e-18   
-0.435   0   -0.00556401   -0.0871303   0.0331534   0.0732643   -2.24023e-17   
-0.425   0   -0.00595233   -0.0899912   0.0336823   0.0748268   -3.01747e-17   
-0.415   0   -0.00633509   -0.0928247   0.0342016   0.0763689   -6.81658e-17   
-0.405   0   -0.00671204   -0.0956283   0.0347111   0.0778894   -1.16653e-17   
-0.395   0   -0.00708291   -0.098399   0.0352105   0.0793873   6.18673e-18   
-0.385   0   -0.00744744   -0.101134   0.0356998   0.0808615   4.89043e-17   
-0.375   0   -0.0078054   -0.103832   0.0361786   0.0823109   -9.60197e-18   
-0.365   0   -0.00815655   -0.106489   0.0366469   0.0837346   2.25379e-17   
-0.355   0   -0.00850067   -0.109103   0.0371045   0.0851314   2.00035e-17   
